annee;siret;siren;nom_commune;code_insee;depenses_culturelles_totales_keur;depenses_culturelles_fonctionnement_keur;depenses_culturelles_investissement_keur;depenses_culturelles_totales_euros_par_habitant;depenses_culturelles_fonctionnement_euros_par_habitant;depenses_culturelles_investissement_euros_par_habitant;depenses_culturelles_totales_pct;depenses_culturelles_fonctionnement_pct;depenses_culturelles_investissement_pct;population_2023
2023;21330167400015;213301674;00000;33167;2184;2154;30;121;119;2;0,08;0,095;0,006;18130
2023;21570221800011;215702218;00000;57221;8880;2730;6149;738;227;511;0,329;0,203;0,454;12040
2023;21340101100019;213401011;00000;34101;36;31;5;7;6;1;0,007;0,009;0,003;5116
2023;21090122900018;210901229;00000;09122;468;383;85;48;39;9;0,029;0,039;0,013;9841
2023;21570224200011;215702242;00000;57224;31;31;0;8;8;0;0,007;0,01;0;4019
2023;21370109700015;213701097;00000;37109;378;298;79;34;27;7;0,025;0,026;0,021;11103
2023;21310187600018;213101876;00000;31187;1485;829;657;119;67;53;0,098;0,085;0,121;12454
2023;21380169900017;213801699;00000;38169;3010;2985;25;129;128;1;0,09;0,099;0,008;23295
2023;21770186100015;217701861;00000;77186;3708;3357;352;227;205;22;0,133;0,144;0,075;16368
2023;21860100300013;218601003;00000;86100;176;63;113;43;16;28;0,053;0,024;0,163;4046
2023;21210278400015;212102784;00000;21278;794;715;79;89;80;9;0,105;0,113;0,067;8957
2023;21690088600013;216900886;00000;69088;312;312;0;44;44;0;0,058;0,065;0;7159
2023;21920032600011;219200326;00000;92032;1567;545;1022;62;22;40;0,033;0,014;0,127;25389
2023;21850092400012;218500924;00000;85092;2531;2154;377;183;156;27;0,122;0,144;0,065;13828
2023;21780242000018;217802420;00000;78242;3381;1040;2341;247;76;171;0,153;0,07;0,321;13682
2023;21940033000011;219400330;00000;94033;18503;7637;10865;357;147;210;0,154;0,083;0,391;51807
2023;21770192900010;217701929;00000;77192;230;226;5;40;39;1;0,029;0,033;0,004;5814
2023;21310188400012;213101884;00000;31188;221;213;7;37;35;1;0,028;0,037;0,003;6032
2023;21130038900015;211300389;00000;13038;61;58;2;17;16;1;0,013;0,015;0,003;3599
2023;21570227500011;215702275;00000;57227;3950;2685;1266;181;123;58;0,136;0,118;0,199;21797
2023;21040088300018;210400883;00000;04088;1304;519;785;250;100;151;0,145;0,076;0,369;5210
2023;21910249800017;219102498;00000;91249;1259;235;1024;311;58;253;0,235;0,061;0,668;4048
2023;20005467400011;200054674;00000;76276;944;880;64;241;224;16;0,109;0,115;0,061;3922
2023;21972209700017;219722097;00000;97209;7386;7285;100;97;96;1;0,047;0,05;0,008;76085
2023;21950250700128;219502507;00000;95250;819;705;114;83;71;12;0,06;0,062;0,051;9895
2023;21130039700018;211300397;00000;13039;4770;4765;5;304;304;0;0,072;0,085;0;15685
2023;21290058300015;212900583;00000;29058;3907;2277;1631;370;216;155;0,238;0,207;0,3;10557
2023;21350115800017;213501158;00000;35115;3970;1170;2799;188;55;133;0,114;0,052;0,225;21121
2023;20008263400011;200082634;00000;70245;420;355;65;107;91;17;0,116;0,139;0,062;3915
2023;21470100500016;214701005;00000;47100;254;234;20;45;41;4;0,049;0,052;0,032;5697
2023;21620351300017;216203513;00000;62351;10;10;0;2;2;0;0,001;0,002;0;6368
2023;21170168500011;211701685;00000;17168;629;520;109;155;128;27;0,077;0,088;0,048;4069
2023;21580117600011;215801176;00000;58117;148;140;9;36;34;2;0,028;0,035;0,007;4120
2023;21590249500013;215902495;00000;59249;2391;1854;537;207;160;46;0,092;0,127;0,046;11574
2023;21420099000015;214200990;00000;42099;46;46;0;12;12;0;0,01;0,015;0;3786
2023;21690089400017;216900894;00000;69089;1156;968;188;77;64;13;0,073;0,075;0,067;15046
2023;21950252300018;219502523;00000;95252;12048;4064;7984;321;108;213;0,153;0,085;0,255;37494
2023;21760475000083;217604750;00000;76475;0;0;0;0;0;0;0;0;0;6291
2023;21830061400011;218300614;00000;83061;11296;10663;634;200;188;11;0,111;0,131;0,031;56598
2023;21780255200018;217802552;00000;78255;325;292;33;75;68;8;0,079;0,08;0,075;4320
2023;21940034800013;219400348;00000;94034;2321;2241;80;81;78;3;0,05;0,052;0,022;28679
2023;21590253700012;215902537;00000;59253;160;159;1;21;21;0;0,015;0,02;0;7491
2023;21570240800018;215702408;00000;57240;496;125;371;38;10;29;0,036;0,012;0,126;12952
2023;21800353100017;218003531;00000;80368;71;66;5;16;14;1;0,014;0,015;0,006;4589
2023;21340108600011;213401086;00000;34108;1433;1402;31;61;59;1;0,036;0,042;0,004;23705
2023;21310202300016;213102023;00000;31202;520;334;186;80;51;29;0,07;0,06;0,101;6535
2023;21540215700014;215402157;00000;54215;1207;1155;52;183;175;8;0,152;0,153;0,141;6610
2023;21310203100019;213102031;00000;31203;510;480;30;53;50;3;0,042;0,084;0,005;9546
2023;21470106200017;214701062;00000;47106;410;397;14;85;82;3;0,063;0,093;0,006;4815
2023;21200120000014;212001200;00000;02120;367;346;21;62;59;4;0,045;0,053;0,014;5901
2023;21130040500019;211300405;00000;13040;355;353;2;34;34;0;0,024;0,035;0;10351
2023;21930032400015;219300324;00000;93032;3189;2997;193;80;75;5;0,05;0,068;0,01;39817
2023;21810099800010;218100998;00000;81099;2297;1931;366;148;124;24;0,141;0,168;0,077;15572
2023;21740133000014;217401330;00000;74133;660;595;65;63;57;6;0,041;0,05;0,016;10468
2023;21270275700015;212702757;00000;27275;530;530;0;76;76;0;0,061;0,074;0;6935
2023;21280168200015;212801682;00000;28168;87;69;19;24;19;5;0,024;0,021;0,048;3707
2023;21300123300013;213001233;00000;30123;759;16;743;205;4;200;0,194;0,006;0,641;3709
2023;21670151600017;216701516;00000;67151;221;213;8;42;41;2;0,053;0,063;0,01;5216
2023;21640230500017;216402305;00000;64230;0;0;0;0;0;0;0;0;0;5705
2023;21340111000019;213401110;00000;34111;265;260;5;63;62;1;0,055;0,079;0,003;4216
2023;21030118000019;210301180;00000;03118;585;552;33;97;92;6;0,074;0,08;0,033;6012
2023;21050061700019;210500617;00000;05061;1676;1496;181;40;36;4;0,027;0,035;0,009;41528
2023;21920033400015;219200334;00000;92033;3404;2888;516;190;161;29;0,072;0,094;0,031;17960
2023;21580121800011;215801218;00000;58121;55;39;16;14;10;4;0,012;0,014;0,01;3795
2023;21130041300013;211300413;00000;13041;1193;849;344;55;39;16;0,029;0,023;0,083;21850
2023;21830064800019;218300648;00000;83064;192;192;0;36;36;0;0,027;0,029;0;5406
2023;21780267700013;217802677;00000;78267;777;723;54;98;91;7;0,079;0,088;0,033;7933
2023;21950268900017;219502689;00000;95268;7060;3920;3140;163;91;73;0,077;0,059;0,122;43294
2023;21300125800010;213001258;00000;30125;236;220;16;46;43;3;0,024;0,057;0,003;5085
2023;21060064900011;210600649;00000;06064;299;278;21;70;65;5;0,036;0,068;0,005;4272
2023;21020321200092;210203212;00000;02340;1332;1311;21;252;248;4;0,167;0,179;0,034;5283
2023;21670152400011;216701524;00000;67152;879;816;62;114;106;8;0,089;0,119;0,021;7682
2023;21640237000011;216402370;00000;64237;2;1;0;1;0;0;0;0,001;0;3768
2023;21130042100016;211300421;00000;13042;2303;2286;17;337;335;2;0,152;0,179;0,007;6827
2023;21690277500123;216902775;00000;69277;1790;1700;91;133;126;7;0,083;0,093;0,026;13445
2023;21690278300010;216902783;00000;69278;199;199;0;35;35;0;0,031;0,038;0;5626
2023;21300128200010;213001282;00000;30128;15;14;1;4;3;0;0,003;0,004;0,001;4117
2023;21440223200018;214402232;00000;44223;124;115;9;33;31;2;0,027;0,037;0,006;3736
2023;21420225100085;214202251;00000;42225;321;116;205;81;29;52;0,057;0,049;0,063;3953
2023;21210292500014;212102925;00000;21292;544;497;48;104;95;9;0,085;0,124;0,02;5234
2023;20007554700014;200075547;00000;49261;358;313;45;41;36;5;0,034;0,041;0,016;8647
2023;21920036700015;219200367;00000;92036;2923;2723;200;58;54;4;0,015;0,019;0,004;50096
2023;21940037100015;219400371;00000;94037;1566;1532;34;83;81;2;0,034;0,036;0,01;18950
2023;21880196700017;218801967;00000;88196;927;848;79;110;101;9;0,054;0,055;0,044;8442
2023;21670154000017;216701540;00000;67154;10;5;5;3;1;2;0,003;0,003;0,004;3508
2023;21630164800012;216301648;00000;63164;580;579;1;55;55;0;0,054;0,063;0,001;10491
2023;21440063200011;214400632;00000;44063;291;281;10;76;73;3;0,079;0,101;0,011;3834
2023;21350120800010;213501208;00000;35120;268;268;0;46;46;0;0,046;0,061;0;5796
2023;21010173900014;210101739;00000;01173;997;882;114;74;66;9;0,037;0,058;0,01;13467
2023;21200123400013;212001234;00000;02123;47;41;5;11;10;1;0,007;0,011;0,002;4269
2023;20005722200016;200057222;00000;59260;3;1;2;1;0;1;0,001;0;0,008;4170
2023;21140301900014;211403019;00000;14301;565;474;91;115;96;18;0,115;0,104;0,25;4929
2023;21450155300215;214501553;00000;45155;1499;1338;161;109;98;12;0,067;0,092;0,021;13716
2023;21380179800017;213801798;00000;38179;621;579;42;86;80;6;0,06;0,069;0,022;7227
2023;21910272000014;219102720;00000;91272;1874;1087;787;85;49;36;0,034;0,038;0,03;21996
2023;21340113600014;213401136;00000;34113;12;4;8;2;1;1;0,001;0,001;0,002;6642
2023;21340114400018;213401144;00000;34114;1163;477;686;173;71;102;0,114;0,066;0,227;6725
2023;21130043900018;211300439;00000;13043;278;269;9;28;27;1;0,018;0,024;0,002;9990
2023;21270284900010;212702849;00000;27284;2118;1079;1039;176;90;86;0,109;0,068;0,294;12046
2023;21080173400018;210801734;00000;08190;453;447;6;70;69;1;0,046;0,049;0,006;6487
2023;21690091000011;216900910;00000;69091;4760;4435;325;229;213;16;0,142;0,166;0,048;20798
2023;21710221900011;217102219;00000;71221;183;133;50;48;35;13;0,037;0,041;0,03;3838
2023;21690092800013;216900928;00000;69092;632;108;524;81;14;67;0,062;0,02;0,112;7843
2023;21880209800010;218802098;00000;88209;200;196;5;22;22;1;0,013;0,024;0,001;9001
2023;21590266900013;215902669;00000;59266;231;224;7;57;55;2;0,065;0,07;0,02;4039
2023;21160154700014;211601547;00000;16154;1;1;0;0;0;0;0;0;0;6116
2023;21950277000015;219502770;00000;95277;4471;3176;1295;172;122;50;0,072;0,069;0,079;25950
2023;21830067100011;218300671;00000;83067;3;0;3;1;0;1;0;0;0,002;4410
2023;21760305900015;217603059;00000;76305;3432;3115;316;377;342;35;0,077;0,082;0,048;9101
2023;21440064000048;214400640;00000;44064;92;65;27;17;12;5;0,022;0,02;0,026;5307
2023;21290061700011;212900617;00000;29061;533;497;36;83;78;6;0,07;0,085;0,02;6393
2023;20006625600013;200066256;00000;61474;63;11;53;17;3;14;0,029;0,007;0,078;3768
